Filial,Documento,Nome_Cliente,Nome_Vendedor,Produtos,Quantidade,Preco_Unitario,Total,Estado_Cliente,Data_Compra,Data_Devolucao,Status
São Paulo,5835,Soluções NovaTech S.A,João,Nintendo Wii,11,1699,18689, Pará (PA) ,2023-06-19,2023-06-23,Com Devolução
Parana,1739,Corporação TechVantage,Henrique,Nintendo DS,6,389,2334, Rio de Janeiro (RJ) ,2020-10-08,2020-10-14,Com Devolução
São Paulo,7027,Tecnologias Impulso Quântico Ltda,Maria,PlayStation 2,20,499,9980, Ceará (CE) ,2024-01-06,,Sem Devolução
Rio de Janeiro,4792,Inovação QuantumLeap Ltda,Vanessa,PlayStation 1,12,199,2388, Sergipe (SE) ,2023-09-22,2023-10-08,Com Devolução
Parana,1120,Soluções Núcleo Quântico Ltda,Maria,XBOX 360,38,1299,49362, Santa Catarina (SC) ,2021-06-07,2021-06-22,Com Devolução
São Paulo,6836,Empreendimentos NexusTech Ltda,João,XBOX ONE S,15,1499,22485, Mato Grosso do Sul (MS) ,2024-06-12,,Sem Devolução
São Paulo,3476,Corporação TechVantage,Maria,PlayStation 1,33,199,6567, Rio de Janeiro (RJ) ,2022-10-13,,Sem Devolução
Parana,7832,Corporação TechNex,Vanessa,XBOX 360,14,1299,18186, Paraná (PR) ,2020-10-22,,Sem Devolução
Rio de Janeiro,4940,Empresas Esfera de Sinergia Ltda,Taize,PlayStation 2,30,499,14970, Ceará (CE) ,2022-05-31,,Sem Devolução
Parana,6634,Empresas Esfera de Sinergia Ltda,Maria,PlayStation 2,1,499,499, Rio Grande do Norte (RN) ,2020-12-02,,Sem Devolução
Parana,6642,Tecnologias Ondas Futuras Ltda,Henrique,Nintendo DS,23,389,8947, Santa Catarina (SC) ,2020-09-11,,Sem Devolução
Parana,4300,Empresa Visionária de Inovações S.A,Taize,XBOX ONE S,2,1499,2998, Rondônia (RO) ,2022-10-16,,Sem Devolução
Rio de Janeiro,2385,Indústrias ApexTech Ltda,Taize,Game Boy,14,79,1106, Roraima (RR) ,2023-09-26,,Sem Devolução
São Paulo,6003,Soluções Núcleo Quântico Ltda,João,XBOX 360,16,1299,20784, Rio de Janeiro (RJ) ,2020-07-04,,Sem Devolução
Parana,6526,Tecnologias Ondas Futuras Ltda,Vanessa,Nintendo DS,24,389,9336, Mato Grosso (MT) ,2023-10-27,,Sem Devolução
Rio de Janeiro,4785,Corporação NexusGen,Henrique,Nintendo DS,8,389,3112, Paraná (PR) ,2024-04-26,,Sem Devolução
Parana,3937,VisionáriaTech S.A,João,XBOX ONE S,40,1499,59960, São Paulo (SP) ,2022-12-21,2023-01-04,Com Devolução
Parana,6394,Inovação QuantumLeap Ltda,Taize,PlayStation 2,11,499,5489, Amapá (AP) ,2020-10-30,2020-11-25,Com Devolução
Parana,2102,Laboratórios InovateX Ltda,Maria,XBOX ONE S,12,1499,17988, Piauí (PI) ,2023-07-11,2023-08-06,Com Devolução
Rio de Janeiro,9010,Empresa Visionária de Inovações S.A,Paulo,PlayStation 1,23,199,4577, Amazonas (AM) ,2020-02-17,,Sem Devolução
Parana,2601,VisionáriaTech S.A,Paulo,Game Boy,9,79,711, Mato Grosso (MT) ,2022-10-27,,Sem Devolução
Rio de Janeiro,8666,VisionáriaTech S.A,João,PlayStation 4,35,1399,48965, Rio Grande do Sul (RS) ,2020-01-13,,Sem Devolução
São Paulo,7147,Sistemas Sinérgicos Ltda,Taize,XBOX 360,32,1299,41568, Sergipe (SE) ,2020-04-03,2020-04-22,Com Devolução
Parana,3431,Soluções Núcleo Quântico Ltda,Paulo,Nintendo DS,4,389,1556, Tocantins (TO) ,2021-12-05,,Sem Devolução
Parana,1927,Grupo Borda de Inovação Ltda,Henrique,PlayStation 2,32,499,15968, Paraná (PR) ,2021-11-16,,Sem Devolução
Parana,8254,Grupo Borda de Inovação Ltda,Taize,PlayStation 2,18,499,8982, Rio de Janeiro (RJ) ,2022-04-24,2022-05-07,Com Devolução
São Paulo,8063,Empreendimentos NovaGenius Ltda,João,Nintendo Wii,22,1699,37378, Distrito Federal (DF) ,2020-04-16,,Sem Devolução
Rio de Janeiro,8646,Empreendimentos NexusTech Ltda,Paulo,PlayStation 4,23,1399,32177, Santa Catarina (SC) ,2020-11-09,,Sem Devolução
São Paulo,4056,Grupo Dinâmica Horizon Ltda,Vanessa,PlayStation 1,35,199,6965, Rondônia (RO) ,2023-06-24,,Sem Devolução
São Paulo,4210,Laboratórios InovateX Ltda,Maria,PlayStation 1,37,199,7363, São Paulo (SP) ,2020-11-27,,Sem Devolução
Rio de Janeiro,6422,Empreendimentos NovaGenius Ltda,João,XBOX ONE S,31,1499,46469, Pará (PA) ,2022-02-13,,Sem Devolução
Parana,5501,Laboratórios InovateX Ltda,Taize,PlayStation 2,3,499,1497, Paraíba (PB) ,2021-09-16,,Sem Devolução
Parana,9321,Empreendimentos NexusTech Ltda,Taize,PlayStation 1,24,199,4776, Santa Catarina (SC) ,2023-05-09,,Sem Devolução
São Paulo,8302,Empreendimentos NovaGenius Ltda,João,PlayStation 1,35,199,6965, Santa Catarina (SC) ,2020-07-20,,Sem Devolução
São Paulo,4844,Empresa Visionária de Inovações S.A,João,Nintendo DS,28,389,10892, Rio de Janeiro (RJ) ,2021-03-28,,Sem Devolução
